"L.p.","Nr pow","Powiat","Organizator","Nazwa wtz","Ulica","Miejscowość","Kod","Poczta","Data utworzenia wtz"
"586","311","iławski","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło","Warsztat Terapii Zajęciowej ","Wiejska 2d","Iława","14200","Iława","07-02-97"
"587","312","kętrzyński","Mazurskie Stowarzyszenie na Rzecz Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ","Budowlana 5","Kętrzyn","11400","Kętrzyn","10-25-99"
"588","313","lidzbarski","Caritas Archidiecezji Przemysko-Warszawskiej","Warsztat Terapii Zajęciowej ","Henrykowo","Henrykowo","11130","Orneta","07-16-10"
"589","313","lidzbarski","Orneckie Stowarzyszenie Wspierania Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ","Przemysłowa 15","Orneta","11130","Orneta","05-28-98"
"590","314","mrągowski","Fundacja ""ELF""","Warsztat Terapii Zajęciowej ","Olsztyńska 16","Mrągowo","11700","Mrągowo","03-01-21"
"591","314","mrągowski","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną  Koło w Mikołajkach","Warsztat Terapii Zajęciowej ","Kolejowa 13","Mikołajki","11730","Mikołajki","03-16-06"
"592","315","nidzicki","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną - Koło w Nidzicy","Warsztat Terapii Zajęciowej w Nidzicy","Krzywa 9","Nidzica","13100","Nidzica","09-16-97"
"593","316","nowomiejski (lubawski)","Zarząd Oddziału Miejskiego Towarzystwa Przyjaciół Dzieci","Warsztat Terapii Zajęciowej ","Grunwaldzka 38","Nowe Miasto Lubawskie","13300","Nowe Miasto Lubawskie","06-25-00"
"594","317","olecko","Urząd Miejski w Olecku","Warsztat Terapii Zajęciowej ","Kopernika 6","Olecko","19400","Olecko","10-02-99"
"595","318","olsztyński","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Dobrym Mieście","Warsztat Terapii Zajęciowej ","Garnizonowa 20","Dobre Miasto","11040","Dobre Miasto","12-01-08"
"596","318","olsztyński"," Stowarzyszenie Na Rzecz Osób Niepełnosprawnych i Ich Rodzin w Olsztynku","Warsztat Terapii Zajęciowej ","Ostródzka 4c","Olsztynek","11015","Olsztynek","12-01-10"
"597","318","olsztyński","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Biskupcu","Warsztat Terapii Zajęciowej ","Gdańska 1","Biskupiec","11300","Biskupiec","07-01-04"
"598","319","ostródzki","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intlektualną Koło w Ostródzie","Warsztat Terapii Zajęciowej ","Jeziorna 1b","Kajkowo","14100","Ostróda","10-02-03"
"599","319","ostródzki","Towarzystwo Przyjaciół Dzieci Oddział Okręgowy","Warsztat Terapii Zajęciowej ","Wróblewskiego 15B","Morąg","14300","Morąg","12-02-07"
"600","320","piski","Stowarzyszenie ""Przymierze - Ziemia Piska""","Warsztat Terapii Zajęciowej","Pl. Daszyńskiego 11A","Pisz","12200","Pisz","12-17-06"
"601","321","szczycieński","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ","Wielbarska 4","Szczytno","12100","Szczytno","03-29-97"
"602","322","węgorzewski","Stowarzyszenie Osób Niepełnosprawnych ""EMPATIA""","Warsztat Terapii Zajęciowej","","Olszewo Węgorzewskie 41","11606","Budry","10-16-08"
"603","323","Elbląg","Fundacja Pomocy Dzieciom Niepełnosprawnym im. Matki Teresy z Kalkuty","Warsztat Terapii Zajęciowej ","Saperów 14F","Elbląg","82300","Elbląg","10-15-97"
"604","323","Elbląg","Stowarzyszenie ""TACY SAMI""","Warsztat Terapii Zajęciowej ","Beniowskiego 68","Elbląg","82300","Elbląg","10-15-97"
"605","323","Elbląg","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Elblągu","Warsztat Terapii Zajęciowej ","1 Maja 1","Elbląg","82300","Elbląg","08-15-99"
"606","324","Olsztyn","Miejski Zespół ds. Rehabilitacji Zawodowej i Społecznej Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej przy Polskim Stowarzyszeniu na Rzecz Osób z Niepełnosprawnością Intelekt","Traktorowa 35","Olsztyn","10900","Olsztyn","04-02-97"
"607","324","Olsztyn","Miejski Zespół ds. Rehabilitacji Zawodowej i Społecznej Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej przy Stowarzyszeniu Wyjątkowe Serce","Bałtycka 45","Olsztyn","10900","Olsztyn","12-02-99"
"608","325","chodzieski","Obywatelska Fundacja Na Rzecz Dzieci Niepełnosprawnych i Potrzebujących Pomocy","Warsztat Terapii Zajęciowej","Zdrojowa 14","Chodzież","64800","Chodzież","04-14-97"
"609","326","czarnkowsko-trzcianecki","Stowarzyszenie na Rzecz Osób Psychicznie Chorych i Niepełnosprawnych Intelektualnie ""Empatia""","Warsztat Terapii Zajęciowej ""Empatia""","Kasztanowa 45","Gębice","64707","Gębice","03-02-04"
"610","326","czarnkowsko-trzcianecki","""Caritas"" Parafii pw. Św. Jana Chrzciciela w Trzciance","Warsztat Terapii Zajęciowej","Grunwaldzka 14a","Trzcianka","64980","Trzcianka","06-02-05"
"611","326","czarnkowsko-trzcianecki","""Caritas"" Parafii pw. Św. Jana Chrzciciela w Trzciance","Warsztat Terapii Zajęciowej","Mickiewicza 9","Wieleń","64730","Wieleń","12-05-07"
"612","327","gnieźnieński","Stowarzyszenie Rodzin i Osób Niepełnosprawnych ""RAZEM""","Warsztat Terapii Zajeciowej","Kolejowa 2","Gniezno","62200","Gniezno","06-02-00"
"613","327","gnieźnieński","Caritas Archidiecezji Gnieźnieńskiej","Warsztat Terapii Zajęciowej","Targowa 6","Kłecko","62270","Kłecko","09-05-05"
"614","328","gostyński","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Kreatywni""","Warsztat Terapii Zajęciowej","Szkolna 1","Piaski","63820","Piaski","06-29-04"
"615","329","grodziski (wielkopolski)","Stowarzyszenie Pomocy Dzieciom ""SERCE""","Warsztat Terapii Zajęciowej","Krystyny 30","Rakoniewice","62067","Rakoniewice","03-02-04"
"616","329","grodziski (wielkopolski)","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej","Rakoniewicka 16","Grodzisk Wielkopolski","62065","Grodzisk Wielkopolski","10-02-07"
"617","330","jarociński","Stowarzyszenie OPUS","WTZ przy Stowarzyszeniu OPUS","Wrocławska 39","Jarocin","63200","Jarocin","01-02-08"
"618","331","kaliski","Wiejskie Stowarzyszenie Działające Na Rzecz Osób Niepełnosprawnych ""Razem Łatwiej"" w Koźminku","Warsztat Terapii Zajęciowej ","Ciasna 3a","Koźminek","62840","Koźminek","12-02-08"
"619","331","kaliski","Stowarzyszenie ""Dar Serca"" w Opatówku","Warsztat Terapii Zajęciowej w Cieni Drugiej","","Cienia Druga","62860","Opatówek","02-04-24"
"620","332","kępiński","Caritas Diecezji Kaliskiej","Warsztat Terapii Zajęciowej ","Katowicka 10","Słupia pod Kępnem","63604","Baranów","12-14-05"
"621","333","kolski","Kolskie Stowarzyszenie Osób Niepełnosprawnych ""Sprawni Inaczej""","Warsztat Terapii Zajęciowej ""Sprawni Inaczej""","Dąbska 40","Koło","62600","Koło","12-28-09"
"622","333","kolski","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej PSONI","Wojciechowskiego 21A","Koło","62600","Koło","09-27-98"
"623","333","kolski","Stowarzyszenie ""Sprawni Inaczej""","Warsztat Terapii Zajęciowej","Dąbska 29","Kłodawa","62650","Kłodawa","12-16-20"
"624","334","koniński","Fundacja na Rzecz Rozwoju Dzieci i Młodzieży OTWARCIE","Warsztat Terapii Zajęciowej Fundacji na Rzecz Rozwoju Dzieci i Młodzieży OTWARCIE","","Ignacewo 19","62561","Ślesin","12-29-97"
"625","334","koniński","Polskie Towarzystwo Przyjaciół Dzieci Oddział Powiatowy w Koninie","Warsztat Terapii Zajęciowej ","","Nieborzyn 40A","62541","Budzisław Kościelny","10-16-07"
"626","334","koniński","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną, Koło w Wilczynie","Warsztat Terapii Zajęciowej ","Plac Kościelny 2","Wilczogóra","62550","Wilczyn","06-16-98"
"627","334","koniński","Stowarzyszenie ""Razem Aktywni""","Warsztat Terapii Zajęciowej Stowarzyszenia ""Razem Aktywni""","Wrzosowa 10","Paprotnia","62513","Krzymów","11-02-98"
"628","334","koniński","Fundacja Mielnica","Warsztat Terapii Zajęciowej ","","Mielnica Duża 33A","62560","Skulsk","04-03-00"
"629","335","kościański","Stowarzyszenie Pomocy Dzieciom i Młodzieży Niepełnosprawnej Światło Nadziei","Warsztat Terapii Zajęciowej ","Oś. Jagiellońskie 48","Kościan","64000","Kościan","04-26-99"
"630","336","krotoszyński","Stowarzyszenie Na Rzecz Dzieci i Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ","Młyńska 2d","Krotoszyn","63700","Krotoszyn","11-17-02"
"631","337","leszczyński","Stowarzyszenie na Rzecz Aktywności Zawodowej i Społecznej Osób Niepełnosprawnych Ziemi Leszczyńskiej","Warsztat Terapii Zajęciowej ","Plac Zamkowy 2","Rydzyna","64130","Rydzyna","04-01-03"
"632","338","międzychodzki","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""TĘCZA""","Warsztat Terapii Zajęciowej ","Nowe Osiedle 12","Kwilcz","64420","Kwilcz","10-02-07"
"633","339","nowotomyski","Społeczna Fundacja Pomocy Dzieciom Niepełnosprawnym","Warsztat Terapii Zajęciowej","Powstańców Wielkopolskich 41","Zbąszyń","64360","Zbąszyń","10-02-07"
"634","339","nowotomyski","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym Koło w Lwówku","Warsztat Terapii Zajęciowej","Grońsko 25","Grońsko","64310","Lwówek","10-02-08"
"635","340","obornicki","Wielkopolskie Stowarzyszenie na rzecz Chorych Niepełnosprawnych i ich Rodzin ""Rehabilitacja""","Warsztat Terapii Zajęciowej ","","Wiardunki 64","64630","Ryczywół","02-02-09"
"636","341","ostrowski (wielkopolski)","Fundacja Inwalidów i Osób Niepełnosprawnych ""Miłosierdzie"" w Kaliszu","Warsztat Terapii Zajęciowej w Odolanowie","Słoneczna 1","Odolanów","63430","Odolanów","04-11-00"
"637","341","ostrowski (wielkopolski)","Fundacja Inwalidów i Osób Niepełnosprawnych ""Miłosierdzie"" w Kaliszu","Warsztat Terapii Zajęciowej Przygodzice z/s w Ostrowie Wielkopolskim","Wiejska 1","Ostrów Wielkopolski","63400","Ostrów Wielkopolski","09-23-99"
"638","341","ostrowski (wielkopolski)","Stowarzyszenie ""Promocja Rozwoju Dziecka i Rodziny"" w Ostrowie Wielkopolskim","Warsztat Terapii Zajeciowej ""TĘCZA""","Odolanowska 19","Ostrów Wielkopolski","63400","Ostrów Wielkopolski","10-01-98"
"639","342","ostrzeszowski","Fundacja Inwalidów i Osób Niepełnosprawnych ""Miłosierdzie"" w Kaliszu","Warsztat Terapii Zajęciowej","Ostrzeszowska 14","Doruchów","63500","Doruchów","04-02-00"
"640","342","ostrzeszowski","Fundacja Inwalidów i Osób Niepełnosprawnych ""Miłosierdzie"" w Kaliszu","Warsztat Terapii Zajęciowej","","Kuźnica Grabowska 100","63522","Kraszewice","03-02-00"
"641","342","ostrzeszowski","Fundacja Inwalidów i Osób Niepełnosprawnych ""Miłosierdzie"" w Kaliszu","Warsztat Terapii Zajęciowej","","Pisarzowice 28","63507","Kobyla Góra","01-01-08"
"642","342","ostrzeszowski","Fundacja Inwalidów i Osób Niepełnosprawnych ""Miłosierdzie"" w Kaliszu","Warsztat Terapii Zajęciowej","Gen. Sikorskiego 9","Ostrzeszów","63500","Ostrzeszów","07-02-01"
"643","343","pilski","Centrum Charytatywno - Opiekuńcze Caritas pw. Matki Bożej z Lourdes w Pile","Warsztat Terapii Zajęciowej","Leżenica 39","Leżenica","64930","Szydłowo","12-24-13"
"644","343","pilski","Miejsko Gminny Ośrodek Pomocy Społecznej w Łobżenicy","Warsztat Terapii Zajęciowej w Liszkowie","Liszkowo 60","Liszkowo","89310","Łobżenica","11-13-08"
"645","343","pilski","Parafia Rzymsko-Katolicka pw. Św. Mikołaja w Ujściu","Warsztat Terapii Zajęciowej","Plac Wiosny Ludów 1","Ujście","64850","Ujście","12-16-08"
"646","343","pilski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Pile","Warsztat Terapii Zajęciowej przy PSONI Koło w Pile","Morzewo 160","Morzewo","64810","Kaczory","12-02-07"
"647","343","pilski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Pile","Warsztat Terapii Zajęciowej przy PSONI Koło w Pile","Motylewska 24","Piła","64920","Piła","12-02-07"
"648","343","pilski","Caritas Parafii pw. Św. Stanisława Kostki","Warsztat Terapii Zajęciowej ""Caritas""","Browarna 13","Piła","64920","Piła","06-02-02"
"649","344","pleszewski","Wiejskie Stowarzyszenie Osób Niepełnosprawnych ""Pomocna Dłoń""","Warsztat Terapii Zajęciowej","Kolejowa 3","Gizałki","63308","Gizałki","06-22-98"
"650","344","pleszewski","Wiejskie Stowarzyszenie Osób Niepełnosprawnych ""Klaudiusz""","Warsztat Terapii Zajęciowej","","Nowolipsk 41","63313","Chocz","12-02-02"
"651","344","pleszewski","Stowarzyszenie ""Mieszkańcom Gminy Gołuchów""","Warsztat Terapii Zajęciowej","","Kuchary 99","63322","Gołuchów","06-05-00"
"652","345","poznański","Stowarzyszenie Przyjaciół Dzieci Specjalnej Troski im. Leszka Grajka w Swarzędzu","Warsztat Terapii Zajęciowej","Os. Kościuszkowców 13","Swarzędz","62020","Swarzędz","02-02-05"
"653","345","poznański","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Promyk"" w Komornikach","Warsztat Terapii Zajęciowej","Poznańska 19","Konarzewo","62070","Konarzewo","11-04-07"
"654","345","poznański","Wielkopolski Związek Inwalidów Narządu Ruchu w Poznaniu","Warsztat Terapii Zajęciowej","Kolejowa 3","Owińska","62005","Owińska","08-02-08"
"655","345","poznański","Stowarzyszenie Dzieci i Młodzieży Niepełnosprawnej ""Razem"" w Drzązgowie ","Warsztat Terapii Zajęciowej","Drzązgowo 11","Drzązgowo","62025","Drzązgowo","12-16-15"
"656","345","poznański","Stowarzyszenie Osób Niepełnosprawnych i Ich Rodzin ""Roktar"" w Rokietnicy","Warsztat Terapii Zajęciowej ""Roktar""","27 Grudnia 8","Tarnowo Podgórne","62080","Tarnowo Podgórne","12-16-15"
"657","345","poznański","Goślińskie Stowarzyszenie Przyjaciół Osób Niepełnosprawnych w Murowanej Goślinie ","Warsztat Terapii Zajęciowej","Mściszewska 10","Murowana Goślina","62095","Murowana Goślina","12-16-18"
"658","345","poznański","Stowarzyszenie Pomocy Osobom Niepełnosprawnym ""Wspólna Droga"" w Luboniu","Warsztat Terapii Zajęciowej","Romana Maya 1","Luboń","62030","Luboń ","12-16-19"
"659","345","poznański","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych i Aktywności Lokalnej Dla Ciebie w Pobiedziskach ","Warsztat Terapii Zajęciowej","Mieszka I nr 5","Pobiedziska","62010","Pobiedziska ","12-16-19"
"660","346","rawicki","Stowarzyszenie Dzieci i Osób Niepełnosprawnych w Miejskiej Górce","Wasztat Terapii Zajęciowej im. O. Euzebiusza Huchrackiego","Szkolna 1","Miejska Górka","63910","Miejska Górka","12-07-08"
"661","347","słupecki","Gmina Strzałkowo","Warsztat Terapii Zajęciowej","","Babin","62420","Strzałkowo","03-31-04"
"662","347","słupecki","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Na TAK"" w Słupcy","Warsztat Terapii Zajęciowej","Armii Krajowej 27","Słupca","62400","Słupca","10-31-99"
"663","347","słupecki","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną w Michalinowie","Warsztat Terapii Zajęciowej","","Michalinów","62410","Zagórów","10-02-97"
"664","348","szamotulski","Gminny Ośrodek Pomocy Społecznej w Dusznikach ","Warsztat Terapii Zajęciowej","Jana Pawła II 10 B","Duszniki","64550","Duszniki","12-06-16"
"665","348","szamotulski","Zgromadzenie Sióstr Franciszkanek Rodziny Maryi w Szamotułach","Warsztat Terapii Zajęciowej","Lipowa 27","Szamotuły","64500","Szamotuły","06-02-05"
"666","348","szamotulski","Miejsko - Gminny Ośrodek Pomocy Społecznej we Wronkach ","Warsztat Terapii Zajęciowej","Powstańców Wlkp. 23","Wronki","64510","Wronki","12-15-16"
"667","349","śremski","Śremskie Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Trójka""","Warsztat Terapii Zajęciowej w Śremie","Chełmońskiego 1","Śrem","63100","Śrem","12-02-20"
"668","350","średzki (wielkopolski)","Stowarzyszenie Pomocy ""SOS""","Warsztat Terapii Zajęciowej","Kościuszki 6b","Środa Wielkopolska","63000","Środa Wielkopolska","11-11-02"
"669","351","turecki","SINTUR SP. Z O.O.","Warsztat Terapii Zajęciowej","Kolska 19","Turek","62700","Turek","12-19-99"
"670","352","wągrowiecki","Wielkopolskie Stowarzyszenie na Nzecz Chorych Niepełnosprawnych i ich Rodzin ""Rehabilitacja""","Warsztat Terapii Zajęciowej im. K.P.H. Grabiasa","Taszarowo 13","Wągrowiec","62100","Wągrowiec","04-16-02"
"671","352","wągrowiecki","Wielkopolskie Stowarzyszenie na Rzecz Chorych Niepełnosprawnych i ich Rodzin ""Rehabilitacja""","Warsztat Terapii Zajęciowej im. Jana Pawła II","Solna 1/12","Wapno","62120","Wapno","10-02-09"
"672","353","wolsztyński","Stowarzyszenie ""Razem łatwiej""","Warsztat Terapii Zajęciowej w Wolsztynie","5 Stycznia 14","Wolsztyn","64200","Wolsztyn","09-27-15"
"673","354","wrzesiński","Urząd Miasta i Gminy Września","Warsztat Terapii Zajęciowej","Sikorskiego 36","Września","62300","Września","12-02-01"
"674","354","wrzesiński","Gmina Miłosław","Warsztat Terapii Zajęciowej w Czeszewie","Szkolna 24","Czeszewo","62322","Orzechowo","12-02-07"
"675","354","wrzesiński","Stowarzyszenie Oświaty Społecznej w Pyzdrach","Warsztat Terapii Zajęciowej","Ruda Komorska 1","Ruda Komorska","62310","Pyzdry","09-02-05"
"676","355","złotowski","Miejsko-Gminny Ośrodek Pomocy Społecznej w Jastrowiu","Warsztat Terapii Zajęciowej","Wojska Polskiego 25","Jastrowie","64915","Jastrowie","12-02-09"
"677","355","złotowski","Parafia św. Katarzyny w Lipce","Warsztat Terapii Zajęciowej","Kościuszki 26a","Lipka","77420","Lipka","12-29-13"
"678","355","złotowski","Miejsko-Gminny Ośrodek Pomocy Społecznej w Krajence","Warsztat Terapii Zajęciowej","Bydgoska 3","Krajenka","77430","Krajenka","11-26-10"
"679","355","złotowski","Urząd Miasta i Gminy Okonek","Warsztat Terapii Zajęciowej","Leśna 40","Okonek","64965","Okonek","12-02-09"
"680","355","złotowski","Fundacja CIS - Chcemy Integracji Społeczeństwa","Warsztat Terapii Zajęciowej","Hubego 1","Złotów","77400","Złotów","02-02-04"
"681","356","Kalisz","Fundacja Inwalidów i Osób Niepełnosprawnych ""Miłosierdzie""","Warsztat Terapii Zajęciowej","Graniczna 20","Kalisz","62800","Kalisz","06-21-98"
"682","356","Kalisz","Zgromadzenie Zakonne Małe Dzieło Boskiej Opatrzności-Orioniści","Warsztat Terapii Zajęciowej","Tadeusza Kościuszki 24","Kalisz","62800","Kalisz","09-01-08"
"683","357","Konin","Towarzystwo Przyjaciół Dzieci Oddział w Koninie ","Warsztat Terapii Zajęciowej ","Tuwima 2/1","Konin","62510","Konin","04-27-97"
"684","357","Konin","Fundacja ""Mielnica""","Warsztat Terapii Zajęciowej ","Zagórowska 3","Konin","62500","Konin","09-01-97"
"685","357","Konin","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Koninie","Warsztat Terapii Zajęciowej ","Różyckiego 3a","Konin","62510","Konin","01-31-00"
"686","357","Konin","Stowarzyszenie na Rzecz Pomocy Osobom Chorym Psychicznie ","Warsztat Terapii Zajęciowej ","Różyckiego 3","Konin","62510","Konin","05-11-00"
"687","358","Leszno","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Nasz Dom - Nasz Świat""","Warsztat Terapii Zajęciowej ZABOROWO","Rynek Zaborowski 26","Leszno","64100","Leszno","07-02-24"
"688","359","Poznań","Stowarzyszenie na rzecz Młodzieży Sprawnej Inaczej ""Śmiałek""","Warsztat Terapii Zajęciowej ""Śmiałek""","Osiedle Marysieńki 25","Poznań","60683","Poznań","01-01-06"
"689","359","Poznań","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym Koło w Poznaniu","Warsztat Terapii Zajęciowej  ""Przyjaciele""","Osiedle Lecha 40","Poznań","60294","Poznań","12-02-02"
"690","359","Poznań","Pomoc Maltańska - Fundacja Polskich Kawalerów Maltańskich","Warsztat Terapii Zajęciowej ""Pomoc Maltańska""","Miastkowska 128","Poznań","60184","Poznań","04-02-09"
"691","359","Poznań","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym Koło w Poznaniu ","Warsztat Terapii Zajęciowej ""Pomost""","św. Trojcy 22","Poznań","61471","Poznań","12-21-01"
"692","359","Poznań","Stowarzyszenie Osób Niepełnosprawnych i Ich Przyjaciół ""Amikus""","Warsztat Terapii Zajęciowej ""Amikus""","Osiedle Rusa 6","Poznań","61245","Poznań","04-28-05"
"693","359","Poznań","Stowarzyszenie Ludzi z Epilepsją, Niepełnosprawnych i Ich Przyjaciół ""Koniczynka"" ","Warsztat Terapii Zajęciowej ""Koniczynka""","Swobody 22/24","Poznań","60391","Poznań","12-01-07"
"694","359","Poznań","Stowarzyszenie NA TAK","Warsztat Terapii Zajęciowej ""Przylesie""","Oś. B.Śmiałego106","Poznań","60682","Poznań","09-02-98"
"695","359","Poznań","Stowarzyszenie Przyjaciół Niewidomych i Słabowidzących  ","Warsztat Terapii Zajęciowej ""Ognik""","Ognik 20B","Poznań","60386","Poznań","03-02-03"
"696","359","Poznań","Stowarzyszenie NA TAK","Warsztat Terapii Zajęciowej ""Krzemień""","Ognik 20C","Poznań","60386","Poznan","04-02-04"
"697","360","białogardzki","Urząd Miasta i Gminy w Karlinie","Warsztat Terapii Zajęciowej ""Iskierka""","Kościuszki 3","Karlino","78230","Karlino","04-28-05"
"698","360","białogardzki","Urząd Miasta Białogard","Warsztat Terapii Zajęciowej ""Szansa""","Ustronie Miejskie 1","Białogard","78200","Białogard","05-21-00"
"699","361","choszczeński","Urząd Miejski Ul. Wolności 24, 73-200 Choszczno","Warsztat Terapii Zajęciowej","","Piasecznik","73200","Choszczno","12-01-02"
"700","362","drawski","Zespół Placówek Edukacyjno-Terapeutycznych w Bobrowie","Warsztat Terapii Zajęciowej","Wałecka 57","Czaplinek","78550","Czaplinek","12-02-21"
"701","363","goleniowski","Zachodniopomorskie Towarzystwo Pomocy Osobom Niepełnosprawnym","Warsztat Terapii Zajęciowej","Bohaterów Warszawy","Nowogard","72200","Nowogard","07-02-06"
"702","364","gryficki","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej","Jaromin 50","Jaromin","72320","Trzebiatów","09-02-03"
"703","364","gryficki","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej","Pocztowa 4","Gryfice","72300","Gryfice","09-02-98"
"704","364","gryficki","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej","Cicha 5","Trzebiatów","72320","Trzebiatów","09-16-99"
"705","365","gryfiński","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Promyk""","Warsztat Terapii Zajęciowej","Goszków 12A","Goszków","74505","Mieszkowice","10-16-08"
"706","365","gryfiński","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnoscią Intelektualną Koło w Gryfinie","Warsztat Terapii Zajęciowej","Szczecińska 33","Gryfino","74100","Gryfino","12-31-02"
"707","366","kamieński","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Wolinie","Warsztat Terapii Zajęciowej","Mickiewicza ","Wolin","72510","Wolin","12-01-13"
"708","366","kamieński","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Kamieniu Pomorskim","Warsztat Terapii Zajęciowej","Garncarska","Kamień Pomorski","72400","Kamień Pomorski ","12-01-03"
"709","367","kołobrzeski","Polskie Stowarzyszenie Na Rzecz Osób Z Upośledzeniem Koło W Kołobrzegu","Warsztat Terapii Zajęciowej","Mazowiecka 29","Kołobrzeg","78100","Kołobrzeg","09-16-97"
"710","369","łobeski","Stowarzyszenie ""Współistnienie""","Warsztat Terapii Zajęciowej","Łabuń Wielki 32","Łabuń Wielki","72315","Resko","12-23-18"
"711","370","myśliborski","Gmina Dębno","Warsztat Terapii Zajęciowej","Chojeńska 6a","Dębno","74400","Dębno","04-02-06"
"712","371","policki","Polskie Stowarzyszenie Osób z Niepełnosprawnością Intelektualną Koło w Policach","Warsztat Terapii Zajęciowej","Korczaka 55","Police","72010","Police","04-03-05"
"713","372","pyrzycki","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Pyrzycach","Warsztat Terapii Zajęciowej","","Nowielin 40","74200","Pyrzyce","12-02-06"
"714","373","sławieński","Stowarzyszenie ""Akson""","Warsztat Terapii Zajęciowej","Chełmońskiego 30","Sławno","76100","Sławno","08-29-07"
"715","374","stargardzki","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Umysłową","Warsztat Terapii Zajęciowej","Sikorskiego 16","Stargard","73110","Stargard","04-02-97"
"716","374","stargardzki","Towarzystwo Rozwoju Gminy Marianowo","Warsztat Terapii Zajęciowej","Dzwonowo 62","Dzwonowo 62","73121","Marianowo","12-31-07"
"717","375","szczecinecki","Stowarzyszenie ATUT Szczecinek","Warsztat Terapii Zajęciowej","Połczyńska","Szczecinek","78400","Szczecinek","07-29-99"
"718","375","szczecinecki","Miejsko Gminny Ośrodek Pomocy Społecznej Barwice","Warsztat Terapii Zajęciowej","Kościuszki","Barwice","78460","Barwice","12-02-03"
"719","377","wałecki"," SDN Uśmiech w Wałczu","Warsztat Terapii Zajęciowej","Połudnoiowa 10A","Wałcz","78600","Wałcz","08-26-10"
"720","378","Koszalin","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Koszalinie","Warsztat Terapii Zajęciowej Nr 1","Budowniczych 6","Koszalin","75323","Koszalin","09-25-97"
"721","378","Koszalin","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Koszalinie","Warsztat Terapii Zajęciowej Nr 2","Wyspiańskiego 4","Koszalin","75629","Koszalin","03-31-02"
"722","379","Szczecin","Stowarzyszenie Pomocy w Rozwoju Społecznym i Zawodowym Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","Przyszłości 21","Szczecin","70893","Szczecin","12-31-02"
"723","379","Szczecin","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Szczecinie","Warsztat Terapii Zajęciowej im. Prof. Antoniego Zielińskiego","Rostocka 125","Szczecin","71771","Szczecin","01-03-05"
"724","380","Świnoujście","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Świnoujściu","Warsztat Terapii Zajęciowej","Basztowa 11","Świnoujście","72600","Świnoujście","12-03-06"
