L.p.;NAZWA URZĘDU;WOJEWÓDZTWO;POWIAT;MIEJSCOWOŚĆ;ULICA;NR DOMU;KOD POCZTOWY;NR TELEFONU wraz z nr kierunkowym;NR TELEFONU 2 wraz z nr kierunkowym;NR FAXU        wraz z nr kierunkowym;NR FAXU 2       wraz z nr kierunkowym;ADRES E-MAIL URZĘDU;ADRES 2 E-MAIL URZĘDU;ADRES WWW URZĘDU;SZEROKOŚĆ GEOGRAFICZNA;DŁUGOŚĆ GEOGRAFICZNA
93.;Powiatowa Stacja Sanitarno-Epidemiologiczna we Wrocławiu ;dolnośląskie;wrocławski;Wrocław ;Kleczkowska ;20;50-227 ;71 329 58 43 ;;71 329 18 51 ;;psse.wroclaw@pis.gov.pl ;;https://www.gov.pl/web/psse-wroclaw/;51.1267;17.0314
94.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Jelenia Góra;dolnośląskie;miasto Jelenia Góra;Jelenia Góra;Wojska Polskiego;18;58-500;75 753 56 01;;;;jeleniagoramiasto@winb.wroc.pl;;http://powiat.jeleniogorski.sisco.info/?id=1995;50.9012;15.743
95.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Wałbrzycha;dolnośląskie;miasto Wałbrzych;Wałbrzych;J.Słowackiego;23a;58-300;74 648 85 50;;74 648 85 51;;walbrzychmiasto@winb.wroc.pl;;http://bip.walbrzychmiasto.pinb.powiat.pl/;50.7679;16.2802
96.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Wrocławia ;dolnośląskie;miasto Wrocław;Wrocław;Hubska;8 ? 16;50-502;71 799 68 00;;;;pinb@um.wroc.pl;;http://pinb.wroclaw.pl/;51.0943;17.0438
97.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Legnicy;dolnośląskie;miasto Legnica;Legnica;Wojska Polskiego;10 lok. 1;59-220;76 852 35 95;;;;legnicamiasto@winb.wroc.pl;;https://pinb-legnica-miasto.bip.gov.pl/;51.2019;16.1571
98.;Powiatowy Inspektorat Nadzoru Budowlanego w Bolesławcu;dolnośląskie;bolesławiecki;Bolesławiec;Pl. Marsz. J. Piłsudskiego;2;59-700;75 612 17 97;75 612 17 98;75 612 17 96;;boleslawiec@winb.wroc.pl;;http://www.pinb.boleslawiec.pl;51.2624;15.5689
99.;Powiatowy Inspektorat Nadzoru Budowlanego w Dzierżoniowie;dolnośląskie;dzierżoniowski;Dzierżoniów;Świdnicka;38;58-200;74 832 17 80;695 932 905;74 832 19 91;;dzierzoniow@winb.wroc.pl;pinb-dzierzoniow@o2.pl;http://www.pinb-dzierzoniow.info/;50.733;16.6435
100.;Powiatowy Inspektorat Nadzoru Budowlanego w Głogowie;dolnośląskie;głogowski;Głogów;Sikorskiego;21;67-200;76 727 25 63;;76 727 25 63;;glogow@winb.wroc.pl;;http://glogow.pinb.pl/;51.6653;16.0745
101.;Powiatowy Inspektorat Nadzoru Budowlanego w Górze;dolnośląskie;górowski;Góra;Mickiewicza;1;56-200;65 544 39 44;;65 544 39 43;;gora@winb.wroc.pl;;http://www.bip.gora.pinb.powiat.pl/;51.666;16.5422
102.;Powiatowy Inspektorat Nadzoru Budowlanego w Jaworze;dolnośląskie;jaworski;Jawor;Poniatowskiego;25;59-400 ;76 870 36 19;;76 870 36 19;;jawor@winb.wroc.pl;;"http://www.spjawor-bip.pbox.pl/public/?id=39061; www.e-bip.org.pl/pinbjawor/";51.0549;16.1937
103.;Powiatowy Inspektorat Nadzoru Budowlanego w Jelenia Górze;dolnośląskie;karkonoski;Jelenia Góra;Wiejska;29;58-506;75 647 32 36;;75 647 32 36;;jeleniagora@winb.wroc.pl;;http://powiat.jeleniogorski.sisco.info/?id=989;50.908;15.7532
104.;Powiatowy Inspektorat Nadzoru Budowlanego w Kamiennej Górze;dolnośląskie;kamiennogórski;Kamienna Góra;Kościuszki ;6;58-400 ;75 769 51 58;;75 769 51 61;;kamiennagora@winb.wroc.pl;;http://www.kamienna-gora.bip.net.pl/?c=1131;50.7822;16.0356
105.;Powiatowy Inspektorat Nadzoru Budowlanego w Kłodzku;dolnośląskie;kłodzki;Kłodzku;Wyspiańskiego;2d;57-300;74 867 95 48;;74 867 95 48;;klodzko@winb.wroc.pl;pinb_klodzko@o2.pl;https://pinb_klodzko.bip.gov.pl/;50.4327;16.6595
106.;Powiatowy Inspektorat Nadzoru Budowlanego w Legnicy;dolnośląskie;legnicki;Legnica;Pl. Słowiański;1;59-220;76 724 34 80;;;;legnica@winb.wroc.pl;;http://bip.sp-legnica.dolnyslask.pl/dokument,iddok,683,idmp,94,r,r;51.2057;16.1614
107.;Powiatowy Inspektorat Nadzoru Budowlanego w Lubaniu;dolnośląskie;lubański;Lubań;Mickiewicza;2;59-800;789 395 622;76 646 43 43;75 646 43 44;;luban@winb.wroc.pl;;http://www.pinbluban.bip.net.pl/;51.1147;15.286
108.;Powiatowy Inspektorat Nadzoru Budowlanego w Lubinie;dolnośląskie;lubiński;Lubin;Kilińskiego;12b;59-300;76 746 71 84;;76 746 71 01;;lubin@winb.wroc.pl;;https://pinb-lubin.bip.gov.pl/;51.4012;16.2109
109.;Powiatowy Inspektorat Nadzoru Budowlanego w Lwówku Śląskim;dolnośląskie;lwówecki;Lwówek Śląski;Al. Wojska Polskiego;25d;59-600;75 782 28 23;;75 782 28 23;75 782 36 54;lwowekslaski@winb.wroc.pl;;www.pinb.powiatlwowecki.pl;51.1094;15.581
110.;Powiatowy Inspektorat Nadzoru Budowlanego w Miliczu;dolnośląskie;milicki;Milicz;Wojska Polskiego;40;56-300;71 383 16 84;;71 383 16 84;;milicz@winb.wroc.pl;;http://www.bip.milicz-powiat.pl/?id=117;51.527;17.2836
111.;Powiatowy Inspektorat Nadzoru Budowlanego w Oleśnicy;dolnośląskie;oleśnicki;Oleśnica;Słowackiego;10;56-400;71 314 01 81;;71 314 01 80;;olesnica@winb.wroc.pl;pinb_olesnica@onet.eu;https://pinb-olesnica.bip.gov.pl/;51.2057;17.377
112.;Powiatowy Inspektorat Nadzoru Budowlanego w Oławie;dolnośląskie;oławski;Oława;Ks. F. Kutrowskiego;31a;55-200;71 318 17 64;;71 714 20 19;;olawa@winb.wroc.pl;;http://www.pinb.olawa.pl/;50.9505;17.2824
113.;Powiatowy Inspektorat Nadzoru Budowlanego w Polkowicach;dolnośląskie;polkowicki;Polkowice;Rynek;31;59-100;76 746 40 29;;;;polkowice@winb.wroc.pl;;https://pinb-polkowice.bip.gov.pl/;51.5026;16.0681
114.;Powiatowy Inspektorat Nadzoru Budowlanego w Strzelinie;dolnośląskie;strzeliński;Strzelin;Grahama Bella;3a;57-100;71 392 30 18;;71 392 30 18;;strzelin@winb.wroc.pl;;http://www.bip.strzelin.pinb.powiat.pl/;50.7818;17.0656
115.;Powiatowy Inspektorat Nadzoru Budowlanego w Środzie Śląskiej;dolnośląskie;średzki;Środa Śląska;Wrocławska;2;55-300;71 396 89 27;71 317 56 47 w.237;71 317 56 49;;srodaslaska@winb.wroc.pl;;http://powiat.sredzki.slaski.sisco.info/?id=402;51.1631;16.5974
116.;Powiatowy Inspektorat Nadzoru Budowlanego w Świdnicy;dolnośląskie;świdnicki;Świdnica;Parkowa;2;58-100;74 856 80 43;74 851 56 21;74 856 80 43;74 851 56 20 ;swidnica@winb.wroc.pl;pinb@pinb-swidnica.pl;http://www.bip.swidnica.pinb.powiat.pl/;50.8476;16.4929
117.;Powiatowy Inspektorat Nadzoru Budowlanego w Trzebnicy;dolnośląskie;trzebnicki;Trzebnica;Leśna;1;55-100;71 387 95 70;;;;pinb@powiat.trzebnica.pl;;http://www.pinb.trzebnica.pl/;51.3032;17.0694
118.;Powiatowy Inspektorat Nadzoru Budowlanego w Wałbrzychu;dolnośląskie;wałbrzyski;Wałbrzych;al. Wyzwolenia;22;58-300;74 846 06 85;74 846 06 75;74 846 06 22;;walbrzych@winb.wroc.pl;;http://www.pinb.walbrzych.pl/;50.7701;16.2821
119.;Powiatowy Inspektorat Nadzoru Budowlanego w Wołowie;dolnośląskie;wołowski;Wołów;Pl. Piastowski;2;56-100;71 389 53 66;;;;wolow@winb.wroc.pl;;http://pinb.wolow.sisco.info/;51.3352;16.6494
120.;Powiatowy Inspektorat Nadzoru Budowlanego w Ząbkowicach Śląskich;dolnośląskie;ząbkowicki;Ząbkowice Śląskie;Kłodzka;2;57-200;74 647 28 34;74 647 28 28;74 647 28 34;;zabkowiceslaskie@winb.wroc.pl;;http://www.bip.zabkowiceslaskie.pinb.powiat.pl/;50.5861;16.8096
121.;Powiatowy Inspektorat Nadzoru Budowlanego w Zgorzelcu;dolnośląskie;zgorzelecki;Zgorzelec;Bohaterów II Armii Wojska Polskiego;8;59-900;75 642 46 44;;75 642 46 44;;zgorzelec@winb.wroc.pl;;http://www.powiat.zgorzelec.pl/pinb;51.1485;15.0194
122.;Powiatowy Inspektorat Nadzoru Budowlanego w Złotoryi;dolnośląskie;złotoryjski;Złotoryja;Kolejowa;4;59-500;76 878 29 50;768 782 960;76 8782 961 wew. 108;;zlotoryja@winb.wroc.pl;;http://www.bip.powiat-zlotoryja.pl/a,117,powiatowy-inspektor-nadzoru-budowlanego;51.1262;15.9124
123.;Powiatowy Inspektorat Nadzoru Budowlanego we Wrocławiu;dolnośląskie;wrocławski;Wrocław;Kościuszki;131;50-440;71 722 17 88;;;;wroclaw@winb.wroc.pl;;http://pinb.ibip.wroc.pl/public/;51.0993;17.0476
124.;Powiatowy Inspektorat Weterynarii w Bolesławcu ;dolnośląskie;bolesławiecki;Bolesławiec ;Górników ;8a;59-700 ;75 730 10 86 ;;75 732 20 20;;boleslawiec@wroc.wiw.gov.pl ;boleslawiec.piw@wetgiw.gov.pl ;http://piwboleslawiec.ebip.info.pl/;51.2577;15.5673
125.;Powiatowy Inspektorat Weterynarii w Dzierżoniowie ;dolnośląskie;dzierżoniowski;Dzierżoniów ;Batalionów Chłopskich;7;58-200 ;74 831 28 09 ;606 624 921;74 832 46 57;;dzierzoniow@wroc.wiw.gov.pl ;dzierzoniow.piw@wetgiw.gov.pl;http://piwdzierzoniow.pl/;50.7255;16.6544
126.;Powiatowy Inspektorat Weterynarii w Głogowie ;dolnośląskie;głogowski;Głogów ;Sikorskiego ;45;67-200 ;76 727 65 90;;76 727 65 99 ;;glogow@wroc.wiw.gov.pl;glogow.piw@wetgiw.gov.pl;http://bip.piw.glogow.pl/;51.6638;16.0659
127.;Powiatowy Inspektorat Weterynarii w Górze ;dolnośląskie;górowski;Góra ;Poznańska ;36;56-200 ;65 543 23 46 ;65 544 16 58;65 543 23 46 ;;gora@wroc.wiw.gov.pl;gora.piw@wetgiw.gov.pl;http://www.piwgora.pl/;52.4758;16.6414
128.;Powiatowy Inspektorat Weterynarii w Jaworze ;dolnośląskie;jaworski;Jawor ;Wrocławska ;21;59-400 ;76 870 24 59 ;;76 870 24 59 ;;jawor@wroc.wiw.gov.pl;jawor.piw@wetgiw.gov.pl;http://piwjawor.nbip.pl/piwjawor/;51.0522;16.2141
129.;Powiatowy Inspektorat Weterynarii w Jeleniej Górze ;dolnośląskie;jeleniogórski;Jelenia Góra ;Wojewódzka;5A;58-560 ;75 753 47 15 ;;75 753 47 14;;jelenia.gora@wroc.wiw.gov.pl;;http://www.piw.jelenia-gora.pl/;50.9118;15.7344
130.;Powiatowy Inspektorat Weterynarii w Kamiennej Górze ;dolnośląskie;górowski;Kamienna Góra ;Wałbrzyska;2c;58-400 ;75 743 02 64 ;;75 744 74 43 ;;kamiennag.piw@wetgiw.gov.pl ;kamienna.gora@wroc.wiw.gov.pl;http://piwkamiennagora.pl/;50.7885;16.0352
131.;Powiatowy Inspektorat Weterynarii w Kłodzku ;dolnośląskie;kłodzki;Bystrzyca Kłodzka ;Kłodzka ;12;57-500 ;74 867 36 63 ;;74 811 02 47 ;;klodzko@wroc.wiw.gov.pl;klodzko.piw@wetgiw.gov.pl;http://www.piw.bip.klodzko.pl/;50.3068;16.6566
132.;Powiatowy Inspektorat Weterynarii w Legnicy ;dolnośląskie;legnicki;Ziemnice;Legnicka ;12;59-220 ;76 855 05 41;;76 855 05 42 ;;legnica.piw@wetgiw.gov.pl ;legnica@wroc.wiw.gov.pl;http://www.piwlegnica.pl/;51.2245;16.2468
133.;Powiatowy Inspektorat Weterynarii w Lubaniu ;dolnośląskie;lubański;Lubań ;Lwówecka;3;59-800 ;75 722 30 33 ;;75 722 30 33 ;;luban@wroc.wiw.gov.pl;lubansl.piw@wetgiw.gov.pl;http://www.piwluban.neostrada.pl/;51.1179;15.2925
134.;Powiatowy Inspektorat Weterynarii w Lubinie ;dolnośląskie;lubiński;Lubin ;Paderewskiego;100;59-300 ;76 844 28 25 ;;76 844 28 25 ;;lubin@wroc.wiw.gov.pl;piw.lubin@wp.pl;http://piw.lubin.pl/;51.3909;16.2085
135.;Powiatowy Inspektorat Weterynarii w Lwówku Śląskim;dolnośląskie;lwówecki;Lwówek Śląski ;Ogrodowa ;1;59-600 ;75 782 46 18 ;;75 782 46 18 ;;lwowek.slaski@wroc.wiw.gov.pl;lwoweksl.piw@wetgiw.gov.pl ;http://piw.powiatlwowecki.pl/;51.1087;15.5901
136.;Powiatowy Inspektorat Weterynarii w Miliczu ;dolnośląskie;milicki;Milicz ;Wojska Polskiego ;40;56-300 ;71 384 03 15 ;;71 384 03 15 ;;milicz@wroc.wiw.gov.pl;milicz.piw@wetgiw.gov.pl;http://www.bip.piw-milicz.j.com.pl/;51.527;17.2836
137.;Powiatowy Inspektorat Weterynarii w Oleśnicy ;dolnośląskie;oleśnicki;Oleśnica ;3 Maja ;20;56-400 ;71 314 26 11 ;;71 398 51 45;;olesnica@wroc.wiw.gov.pl;olesnica.piw@wetgiw.gov.pl;http://www.piw-olesnica.pl/;51.2065;17.3788
138.;Powiatowy Inspektorat Weterynarii w Oławie ;dolnośląskie;oławski;Oława ;3 Maja;1;55-200 ;71 313 21 32 ;;71 303 36 22 ;;olawa@wroc.wiw.gov.pl;olawa.piw@wetgiw.gov.pl ;http://piwolawa.bip2010.pl/;50.9457;17.2962
139.;Powiatowy Inspektorat Weterynarii w Polkowicach ;dolnośląskie;polkowicki;Polkowice ;Górna ;.3/3;59-100 ;76 845 60 16 ;;76 845 05 15 ;;polkowice@wroc.wiw.gov.pl;polkowice.piw@wetgiw.gov.pl;http://www.piw.polkowice.pl/;51.5024;16.0681
140.;Powiatowy Inspektorat Weterynarii w Strzelinie ;dolnośląskie;strzeliński;Strzelin ; Brzegowa;63;57-100 ;71 392 03 05 ;;71 392 03 05 ;603 295 680;strzelin@wroc.wiw.gov.pl;strzelin.piw@wetgiw.gov.pl;http://www.piwstrzelin.pl/;50.7789;17.0854
141.;Powiatowy Inspektorat Weterynarii w Środzie Śląskiej ;dolnośląskie;średzki;Środa Śląska ;Wrocławska;2;55-300 ;71 317 23 76 ;;71 396 66 42 ;;sroda.slaska@wroc.wiw.gov.pl;sroda.piw@wetgiw.gov.pl ;http://www.piw-srodaslaska.biuletyn.net/;51.1631;16.5974
142.;Powiatowy Inspektorat Weterynarii w Świdnicy ;dolnośląskie;świdnicki;Świdnica ;Wałbrzyska;25-27;58-100 ;74 852 30 84 ;;74 852 34 15 ;;swidnica@wroc.wiw.gov.pl;swidnica.piw@wetgiw.gov.pl;http://piw.swidnica.pl/;50.8297;16.4719
143.;Powiatowy Inspektorat Weterynarii w Trzebnicy ;dolnośląskie;trzebnicki;Trzebnica ; 1 Maja;1;55-100 ;71 312 01 97 ;;71 312 01 97 ;;trzebnica@wroc.wiw.gov.pl;trzebnica.piw@wetgiw.gov.pl ;https://www.e-bip.org.pl/piwtrzebnica/;51.3046;17.067
144.;Powiatowy Inspektorat Weterynarii w Wałbrzychu ;dolnośląskie;wałbrzyski;Wałbrzych ;Wysockiego;34;58-304 ;74 848 11 70 ;73 842 69 21 ;74 848 11 72;;walbrzych@wroc.wiw.gov.pl;walbrzych.miw@wetgiw.gov.pl;http://www.piw.walbrzych.pl/;50.7797;16.2553
145.;Powiatowy Inspektorat Weterynarii w Wołowie ;dolnośląskie;wołowski;Wołów ;Skłodowskiej-Curie;9;56-100 ;71 389 27 93 ;532 485 441;71 389 53 25 ;;wolow@wroc.wiw.gov.pl;wolow.piw@wetgiw.gov.pl;https://www.e-bip.org.pl/piwwolow/;51.3245;16.6634
146.;Powiatowy Inspektorat Weterynarii w Ząbkowicach Śląskich ;dolnośląskie;ząbkowicki;Ząbkowice Śląskie ;Daleka;19;57-200 ;74 815 76 35 ;600 073 883;74 815 15 05 ;;zabkowice@wroc.wiw.gov.pl;zabkowicesl.piw@wetgiw.gov.pl;http://www.piw-zabkowice.j.com.pl/news.php;50.5968;16.7994
147.;Powiatowy Inspektorat Weterynarii w Zgorzelcu ;dolnośląskie;zgorzelecki;Zgorzelec ;Poluszyńskiego;1;59-900 ;75 775 20 64 ;;75 775 20 64 ;;zgorzelec@wroc.wiw.gov.pl;piwzgorzelec@onet.pl ;http://www.piwzgorzelec.nbip.pl/piwzgorzelec/;51.1625;15.006
148.;Powiatowy Inspektorat Weterynarii w Złotoryi ;dolnośląskie;złotoryjski;Złotoryja ;Kardynała Wyszyńskiego;12;59-500 ;76 878 33 15 ;;76 878 82 50 ;;zlotoryja@wroc.wiw.gov.pl;zlotoryja.piw@wetgiw.gov.pl ;http://piw-zlotoryja.internetdsl.pl/;51.1283;15.9249
149.;Powiatowy Inspektorat Weterynarii we Wrocławiu;dolnośląskie;wrocławski;Wrocław ;Składowa;1;50-209;71 347 98 20;71 337 06 55;71 347 98 39;71 337 06 46 ;wroclaw@wroc.wiw.gov.pl;wroclaw.piw@wetgiw.gov.pl ;http://www.wroc.piw.gov.pl/BIP/;51.1198;17.0276
150.;Urząd Wojewódzki;kujawsko-pomorskie;;Bydgoszcz;Jagiellońska;3;85-950;52 349-7913;52 349-7720;52 349-7294;;pok@bydgoszcz.uw.gov.pl;;https://www.gov.pl/web/uw-kujawsko-pomorski;53.1243;18.0048
151.;Komenda Wojewódzka Państwowej Straży Pożarnej w Toruniu;kujawsko-pomorskie;;Toruń;Prosta;32;87-100;(56) 658 01 24 ;(56) 658 01 00;(56) 657 57 33;(56) 657 57 32;sekretariat@kujawy.psp.gov.pl;straz@kujawy.psp.gov.pl;https://www.gov.pl/web/kwpsp-torun;53,0133;18,6072
152.;Komenda Wojewódzka Policji w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Powstańców Wielkopolskich;7;85-090;52 525 50 10; 52 525 50 14;52 525 50 17;;sekretariat-komendanta@bg.policja.gov.pl;;http://www.kujawsko-pomorska.policja.gov.pl/;53.12952596;18.02406624
153.;Kuratorium Oświaty w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Konarskiego ;01.mar;85-066;52 34 97 639;52 34-97-605; 52 34 97 645;;kurator@bydgoszcz.uw.gov.pl;;www.kuratorium.bydgoszcz.uw.gov.pl;53.1243;18.0061
154.;Wojewódzki Inspektorat Farmaceutyczny w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Konarskiego;01.mar;85-066;52 320-61-80;;52 322-58-96;;sekretariat@farmacja-bydgoszcz.pl ;;www.farmacja-bydgoszcz.pl;53.1244;18.0062
155.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Cieplicka;7;85-377;"52 360-96-41
";;52 379-78-28;;wi-bydgoszcz@piorin.gov.pl;;http://piorin.gov.pl/wiorin/kujawsko-pomorskie/;53.1347;17.9209
156.;Wojewódzki Inspektorat Nadzoru Budowlanego w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Zygmunta Augusta ;16;85-082;52 584-01-10;;52 584-01-13;;winb@bydgoszcz.uw.gov.pl;sekretariat@bydgoszcz.winb.gov.pl;www.bip.winb.bydgoszcz.uw.gov.pl;53.1346;17.9937
157.;Wojewódzka Inspekcja Geodezyjna i Kartograficzna w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Jagiellońska;3;85-950;52 349 75 91;52 349 77 49;52 349-7752;;geodezja@bydgoszcz.uw.gov.pl;;www.bip.wingk.bydgoszcz.uw.gov.pl;53.1243;18.0061
158.;Wojewódzki Inspektorat Ochrony Środowiska w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Piotra Skargi;2;85-018;52 376 17 00;52 376 17 32;52 -376 17 34;;wios@wios.bydgoszcz.pl;;www.wios.bydgoszcz.pl;53.1262;18.0069
159.;Wojewódzki Inspektorat Inspekcji Handlowej w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Jagiellońska;10;85-020; 52 323 16 10;509 023 742;52 322-58-13;52 323-16-27;bydgoszcz@wiih.com.pl;;www.wiih.com.pl;53.1236;18.0056
160.;Wojewódzki Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Hetmańska;28;85-039;52 322-87-10; 52 322 48 11;52 322-47-26;;wibydgoszcz@ijhars.gov.pl;;www.bip.wijhars.bydgoszcz.pl;53.1338;18.001
161.;Wojewódzki Inspektorat Weterynarii w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Powst. Wielkopolskich;10;85-090 ;52 339-21-00 ;52 345-50-12 ;52 322-13-52 ;;wiw.bydgoszcz@weterynaria.bydgoszcz.pl ;bydgoszcz.wiw@wetgiw.gov.pl ;www.wiw.bydgoszcz.pl;53.1294;18.0199
162.;Wojewódzki Urząd Ochrony Zabytków w Toruniu;kujawsko-pomorskie;;Toruń;Łazienna;8;87-100;56 655-47-51;56 621 06 92; 56 655-46-84;;torun@torun.wkz.gov.pl;;www.torun.wkz.gov.pl;53.0089;18.6077
163.;Wojewódzki Inspektorat Transportu Drogowego w;kujawsko-pomorskie;;Bydgoszcz;Hetmańska ;28;85-039;52 323-83-43;52 323-83-56;52 323-83-45 ;;bydgoszcz@witd.bydgoszcz.pl;;www.witd.bydgoszcz.pl;53.1338;18.001
164.;Wojewódzka Stacja Sanitarno - Epidemiologiczna w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Kujawska;4;85-031;52 376-18-00;;52 345-98-40;;wsse.bydgoszcz@pis.gov.pl;;www.pwisbydgoszcz.pl/ ;53.1186;18.0057
165.;Komenda Miejska PSP w Bydgoszczy;kujawsko-pomorskie;;Bydgoszcz;Dąbrowskiego;4;85-158;52 584 88 33;52 584 88 00;52 584 88 34;;sekretariat@kmpspbydgoszcz.pl;http://www.kmpspbydgoszcz.pl/undefined/;www.kmpspbydgoszcz.pl/;53,1183;17,9894
166.;Komenda Miejska PSP w Grudziadzu;kujawsko-pomorskie;grudziądzki;Grudziądz;Piłsudskiego;25/27;86-300;56 450 66 33;47 75 12 410;56 450 66 50;56 450 66 30;grudziadz@kujawy.psp.gov.pl;kmpsp_grudziadz@kujawy.psp.gov.pl ;www.pspgrudziadz.pl;53,4907;18,757
167.;Komenda Miejska PSP w Toruniu;kujawsko-pomorskie;Toruń;Toruń;Legionów;70/76;87-100;47 75 12 610;56 611 93 22;56 611 92 12;;sekretariat@straz.torun.pl;kmpsp_torun@kujawy.psp.gov.pl;www.straz.torun.pl;53,0251;18,6025
168.;Komenda Miejska PSP we Włocławku;kujawsko-pomorskie;Włocławek;Włocławek;Rolna;1;87-800;47 751-28-10;54 232-08-05;54 232 08 30;;komenda@kmpsp.wloclawek.pl;kmpsp_wloclawek@kujawy.psp.gov.pl;www.kmpsp.wloclawek.pl;52,6588;19,0443
169.;Komenda Powiatowa PSP w Aleksandrowie Kujawskim;kujawsko-pomorskie;aleksandrowski;Aleksandrów Kujawski;Halinowo;2a;87-700;54 231 89 00;47 751 30 01;54 282 40 60;;aleksandrow@kujawy.psp.gov.pl;;www.kppspaleksandrow.pl/;52,8651;18,7078
170.;Komenda Powiatowa PSP w Brodnicy;kujawsko-pomorskie;brodnicki;Brodnica;Sienkiewicza;23;87-300;56 495 06 05;47 75 13 110;56 495 06 03;; brodnica@kujawy.psp.gov.pl;;www.straz.brodnica.pl;53,2587;19,3959
171.;Komenda Powiatowa PSP w Chełmnie;kujawsko-pomorskie;chełmiński;Chełmno;Łunawska;3a;86-200;56 686 44 64;56 686 44 65;56 686 44 67;;chelmno@kujawy.psp.gov.pl;;www.psp-chelmno.pl/;53,3514;18,4489
172.;Komenda Powiatowa PSP w Golubiu - Dobrzyniu;kujawsko-pomorskie;golubsko-dobrzyński;Golub-Dobrzyń;Lipnowska;9;87-400;56 683 22 44 ;477 513 310;56 683 53 89;;golub-dobrzyn@kujawy.psp.gov.pl;;www.golub-dobrzyn.kujawy.psp.gov.pl;53,0981;19,0484
173.;Komenda Powiatowa PSP w Inowrocławiu;kujawsko-pomorskie;inowrocławski;Inowrocław;Poznańska;133;88-100;54 357 50 21;;54 357 50 21 w. 236;; sekretariat@kppsp.inowroclaw.pl;;www.kppsp.inowroclaw.pl/;52,7801;18,2583
174.;Komenda Powiatowa PSP w Lipnie;kujawsko-pomorskie;lipnowski;Lipno;Sportowa;16a;87-600;477 513 510;;54 288 65 77;;lipno@kujawy.psp.gov.pl;;http://lipno.kujawy.psp.gov.pl/index.php/strona-gowna.html;52,8523;19,1716
175.;Komenda Powiatowa PSP w Mogilnie;kujawsko-pomorskie;mogileński;Mogilno;900 - lecia;3;88-300;477 513 610;;523 152 351;;mogilno@kujawy.psp.gov.pl;;www.pspmogilno.pl/;52,6589;17,9558
176.;Komenda Powiatowa PSP w Nakle;kujawsko-pomorskie;nakielski;Nakło nad Notecią;Strażacka;3;89-100;477 513 710;477 513 710;52 386 70 29 ;;naklo@kujawy.psp.gov.pl;;www.psp.naklo.pl/;53,1381;17,5939
177.;Komenda Powiatowa PSP w Radziejowie;kujawsko-pomorskie;radziejowski;Radziejów;Szpitalna;17;88-200;47 751 38 00;;542 854 548;;radziejow@kujawy.psp.gov.pl;;www.kppspradziejow.pl/;52,6148;18,5147
178.;Komenda Powiatowa PSP w Rypinie;kujawsko-pomorskie;rypiński;Rypin;Strażacka;4;87-500;54 280 37 37;477 513 910;54 280-49-15 ;;rypin@kujawy.psp.gov.pl;;https://www.gov.pl/web/kppsp-rypin;53,0636;19,4371
179.;Komenda Powiatowa PSP w Sępólnie Krajeńskim;kujawsko-pomorskie;sępoleński;Sępólno Krajeńskie;Sienkiewicza;54;89-400;477 514 010;;52 388 83 52;;sepolno@kujawy.psp.gov.pl;;www.sepolno.kujawy.psp.gov.pl/;53,4478;17,528
180.;Komenda Powiatowa PSP w Świeciu;kujawsko-pomorskie;świecki;Świecie;Mieczysława Petelskiego;1;86-100;477 514 110;477 514 100;52 33 10 350 ;;swiecie@kujawy.psp.gov.pl;;https://www.gov.pl/web/kppsp-swiecie;53,4119;18,4549
181.;Komenda Powiatowa PSP w Tucholi;kujawsko-pomorskie;tucholski;Tuchola;Sępoleńska;20;89-500;47 751 42 10;52 336 12 28;52 336 12 27;;tuchola@kujawy.psp.gov.pl;;www.straz.tuchola.pl/;53,5873;17,8567
182.;Komenda Powiatowa PSP w Wąbrzeźnie;kujawsko-pomorskie;wąbrzeski;Wąbrzeźno;św. Floriana;6;87-200;47 751-43-10;47 751-43-01;56 689 09 13;;wabrzezno@kujawy.psp.gov.pl;;http://www.wabrzezno.kujawy.psp.gov.pl/;53,2721;18,9715
183.;Komenda Powiatowa PSP w Żninie;kujawsko-pomorskie;żniński;Żnin;Dąbrowskiego ;14;88-400;52 303 34 50;;52 303 34 41;;znin@kujawy.psp.gov.pl;znin.sekretariat@kujawy.psp.gov.pl ;www.kppsp-znin.manifo.com/;52,8506;17,7227
